Date;Aggregated Version;Version;RELEASE;Changes;General;General Category
22.02.2015;2.2;2.2;MINOR;Logging system fails to initialize if XInclude API is not available. Fixes LOG4J2-919. Thanks to David Johle.;Fix wrong implementation;Bug fix
22.02.2015;2.2;2.2;MINOR;ThrowableProxy.getExtendedStackTraceAsString causes NullpointerException. Fixes LOG4J2-914. Thanks to Kaj Bjurman.;Fix wrong implementation;Bug fix
22.02.2015;2.2;2.2;MINOR;XML configuration does not report full error message for XInclude parser configuration problems. Fixes LOG4J2-912.;Fix wrong implementation;Bug fix
22.02.2015;2.2;2.2;MINOR;ClassLoaderContextSelector uses ClassLoader.toString() as a key Fixes LOG4J2-903. Thanks to Mauro Molinari.;Fix wrong implementation;Bug fix
22.02.2015;2.2;2.2;MINOR;ThrowableProxy throws NoClassDefFoundError. Fixes LOG4J2-834. Thanks to Nikita Koval, Leonard Broman, Thiago Kronig.;Fix wrong implementation;Bug fix
22.02.2015;2.2;2.2;MINOR;NullPointerException on filter when mapping JUL to Log4j2. Fixes LOG4J2-893.;Fix wrong implementation;Bug fix
22.02.2015;2.2;2.2;MINOR;JUL adapter does not map Log4j'2 FATAL level to a JUL level. Fixes LOG4J2-892.;Fix wrong implementation;Bug fix
22.02.2015;2.2;2.2;MINOR;AbstractLifecycle should not implement equals() and hashCode(). Fixes LOG4J2-881. Thanks to Mariano Gonzalez.;Fix wrong implementation;Bug fix
22.02.2015;2.2;2.2;MINOR;Javadoc for org.apache.log4j.BasicConfigurator.configure() is incorrect. Fixes LOG4J2-897.;Wrong documentation;Documentation
22.02.2015;2.2;2.2;MINOR;AbstractLifecycle should not implement equals() and hashCode(). Fixes LOG4J2-891.;Fix wrong implementation;Bug fix
22.02.2015;2.2;2.2;MINOR;[docs] Using Log4j 2 in Web Applications: Update example (Log4jWebLifeCycle is not visible). Fixes LOG4J2-946. Thanks to artemonster.;Fix example in documentation;Documentation
22.02.2015;2.2;2.2;MINOR;"Update docs for SyslogAppender: ""No structured id name was supplied"" Fixes LOG4J2-901. Thanks to Tihomir Meščić, Siegfried Greisinger.";Update documentation;Documentation
22.02.2015;2.2;2.2;MINOR;Update from Jackson 2.5.0 to 2.5.1. Fixes LOG4J2-958.;Update dependency;Update dependency
22.02.2015;2.2;2.2;MINOR;Update from Jackson 2.4.4 to 2.5.0. Fixes LOG4J2-925.;Update dependency;Update dependency
22.02.2015;2.2;2.2;MINOR;Update Jackson from 2.4.3 to 2.4.4. Fixes LOG4J2-910.;Update dependency;Update dependency
22.02.2015;2.2;2.2;MINOR;Update Jackson from 2.4.2 to 2.4.3. Fixes LOG4J2-881.;Update dependency;Update dependency
22.02.2015;2.2;2.2;MINOR;Update maven-core from 3.1.0 to 3.2.3. Fixes LOG4J2-882.;Update dependency;Update dependency
22.02.2015;2.2;2.2;MINOR;Update tests from org.apache.felix.framework 4.2.1 to 4.4.1. Fixes LOG4J2-883.;Update dependency;Update dependency
22.02.2015;2.2;2.2;MINOR;Update org.eclipse.osgi from 3.6.0 to 3.7.1. Fixes LOG4J2-884.;Update dependency;Update dependency
22.02.2015;2.2;2.2;MINOR;Update Apache Flume from 1.5.0.1 to 1.5.2. Fixes LOG4J2-900.;Update dependency;Update dependency
19.10.2014;2.1;2.1;MINOR;;;
19.10.2014;2.1;2.1;MINOR;Some typo fixes and enhancements for the site. Fixes LOG4J2-676. Thanks to Stefan Bodewig.;Fix errors in code;Bug fix
19.10.2014;2.1;2.1;MINOR;Add ShutdownCallbackRegistry interface for customizable shutdown callback handling. This is particularly useful for application servers that wish to integrate with Log4j 2. Fixes LOG4J2-868.;Add interface;Add support for a new feature
19.10.2014;2.1;2.1;MINOR;Documentation: fixed missing closing parenthesis in code example. Fixes LOG4J2-866. Thanks to Gerard Weatherby.;Fix documentation;Documentation
19.10.2014;2.1;2.1;MINOR;Fixed classloader issue that prevented Log4j from finding the implementation when used in a custom Ant task. Fixes LOG4J2-862. Thanks to Michael Sutherland.;Fix wrong implementation;Bug fix
19.10.2014;2.1;2.1;MINOR;Supported filtering on custom log levels in configuration. Fixes LOG4J2-589.;Add new filtering;Add support for a new feature
19.10.2014;2.1;2.1;MINOR;Documentation: fix broken links on left navigation Extending Log4j Configuration sub-menu. Fixes LOG4J2-861.;Fix links in documentation;Documentation
19.10.2014;2.1;2.1;MINOR;Documentation: add sections on the JUL Adapter, IO Streams and NoSQL Appenders to the Maven and Ivy page. Fixes LOG4J2-856.;Add section in documentation;Documentation
19.10.2014;2.1;2.1;MINOR;Documentation: clarified why log4j-core is a compile time dependency in Maven and Ivy page. Fixes LOG4J2-797. Thanks to Andreas Rytina.;Add argumentation;Documentation
19.10.2014;2.1;2.1;MINOR;Documentation: fix broken links on Appenders manual page. Fixes LOG4J2-855.;Fix broken links;Documentation
19.10.2014;2.1;2.1;MINOR;Prevent NPE when configuration with AsyncLogger/AsyncRoot is reloaded. Fixes LOG4J2-807.;Fix wrong implementation;Bug fix
19.10.2014;2.1;2.1;MINOR;Add a Java lookup to provide nicely formatted runtime version information. Fixes LOG4J2-848.;Add Java lookup;Add support for a new feature
19.10.2014;2.1;2.1;MINOR;Move reflection utility class to API's private utility classes. Fixes LOG4J2-809.;Code reorganization;Code redesign
19.10.2014;2.1;2.1;MINOR;Add 2.1.0 to compatible versions in Log4j API ProviderUtil and update Log4jAPIVersion to 2.1.0 in core META-INF/log4j-provider.properties. Fixes LOG4J2-845.;Update dependency in provider;Update dependency
19.10.2014;2.1;2.1;MINOR;Documentation: added Runtime Dependencies link to left nav-bar on site. Fixes LOG4J2-833.;Add documentation;Documentation
19.10.2014;2.1;2.1;MINOR;Documentation: added section on XInclude to user manual Configuration page. Fixes LOG4J2-816.;Add documentation;Documentation
19.10.2014;2.1;2.1;MINOR;Documentation: fixed minor issues with Log4j2 web site/documentation. Fixes LOG4J2-678. Thanks to Matt Sicker.;Fix documentation;Documentation
19.10.2014;2.1;2.1;MINOR;Update JMH to 1.1 from 0.7.2. Fixes LOG4J2-844.;Update dependency;Update dependency
19.10.2014;2.1;2.1;MINOR;Migrate JpaHyperSqlAppenderTest JUnit performance test to log4j-perf. Fixes LOG4J2-843.;Migrate;Code redesign
19.10.2014;2.1;2.1;MINOR;Migrate JpaH2AppenderTest JUnit performance test to log4j-perf. Fixes LOG4J2-842.;Migrate;Code redesign
19.10.2014;2.1;2.1;MINOR;Migrate JdbcHyperSqlAppenderTest JUnit performance test to log4j-perf. Fixes LOG4J2-841.;Migrate;Code redesign
19.10.2014;2.1;2.1;MINOR;Migrate JdbcH2AppenderTest JUnit performance test to log4j-perf. Fixes LOG4J2-840.;Migrate;Code redesign
19.10.2014;2.1;2.1;MINOR;Respect external interrupt signal to allow application shutdown after joining AsyncAppender thread. Fixes LOG4J2-830.;Fix wrong implementation;Bug fix
19.10.2014;2.1;2.1;MINOR;MarkerManager Log4jMarker.hasParents() returns opposite of correct result. Fixes LOG4J2-813. Thanks to David Erichsen, Brandon Barry.;Fix wrong implementation;Bug fix
19.10.2014;2.1;2.1;MINOR;Documentation: fixed capitalization inconsistency in user manual example config. Fixes LOG4J2-785.;Fix documentation;Documentation
19.10.2014;2.1;2.1;MINOR;Fixed issue in RollingFile filePattern: backslashes are path separators, not escape characters. Fixes LOG4J2-829.;Fix wrong implementation;Bug fix
19.10.2014;2.1;2.1;MINOR;Add the Log4j IOStreams component. Fixes LOG4J2-547.;Add Log4j IOStreams componen;Add support for a new feature
19.10.2014;2.1;2.1;MINOR;Added Memory-Mapped File Appender. Fixes LOG4J2-431. Thanks to Claude Mamo.;Add Memory-Mapped File Appender;Add support for a new feature
19.10.2014;2.1;2.1;MINOR;ThrowableProxy fails if a class in logged stack trace throws java.lang.Error from initializer Fixes LOG4J2-832. Thanks to Seth Leger.;Fix wrong implementation;Bug fix
19.10.2014;2.1;2.1;MINOR;"Documentation: updated FAQ ""which jars"" diagrams for JUL bridge and 2.1 version. Fixes LOG4J2-831.";Fix documentation;Documentation
19.10.2014;2.1;2.1;MINOR;Support use of TypeConverter classes through the standard Plugin system. Fixes LOG4J2-827.;Add support;Add support for a new feature
19.10.2014;2.1;2.1;MINOR;Avoid ConverterKey plugin clashes by using a more predictable plugin loading infrastructure. Plugins have been segmented into three parts: class path, user-specified packages, and OSGi bundles. Fixes LOG4J2-745. Thanks to Scott Harrington.;Code refactoring;Maintainability improvement
19.10.2014;2.1;2.1;MINOR;Fixed plugin scanning redundancy causing massive slowdowns in certain environments. Fixes LOG4J2-798. Thanks to Scott Harrington.;Fix redundancy;Bug fix
19.10.2014;2.1;2.1;MINOR;Reduced CachedClock thread contention. Fixes LOG4J2-753.;Fix thread contention;Bug fix
19.10.2014;2.1;2.1;MINOR;Fixed memory leak in Tomcat 6 caused by clock background threads unintentionally started by Tomcat after web application stop. Fixes LOG4J2-819. Thanks to Gary Gregory.;Fix memory leak;Memory improvement
19.10.2014;2.1;2.1;MINOR;Add simple validation constraint annotations for the Plugin system. Fixes LOG4J2-825.;Add validation;Add support for a new feature
19.10.2014;2.1;2.1;MINOR;Implement a GELF layout. Fixes LOG4J2-428. Thanks to Mark Paluch, Mikael Ståldal.;Implement GELF layout;Add support for a new feature
19.10.2014;2.1;2.1;MINOR;FlumePersistentManager now handles LockConflictExceptions in Berkeley Db when sending a batch. Fixes LOG4J2-391. Thanks to Kamal Bahadur.;Fix wrong implementation;Bug fix
19.10.2014;2.1;2.1;MINOR;Remove invalid Oracle Maven repository. Fixes LOG4J2-782.;Remove invalid repository;Code redesign
19.10.2014;2.1;2.1;MINOR;Update Spring Framework to 3.2.11.RELEASE from 3.2.8.RELEASE. Fixes LOG4J2-780.;Dependency update;Update dependency
19.10.2014;2.1;2.1;MINOR;Unify the two JMS appenders into a single appender. Configurations written for 2.0 will still work in 2.1+. Fixes LOG4J2-815.;Code changes;Code redesign
19.10.2014;2.1;2.1;MINOR;Add java.util.logging implementation based on log4j-api. See log4j-jul documentation for more details. Fixes LOG4J2-608.;Add new implementation;Add support for a new feature
19.10.2014;2.1;2.1;MINOR;Fixed issue where log4j-to-slf4j did not work correctly with SLF4J Simple Logger. Fixes LOG4J2-796.;Fix wrong implementation;Bug fix
19.10.2014;2.1;2.1;MINOR;SimpleLogger throws ArrayIndexOutOfBoundsException for an empty array. Fixes LOG4J2-811. Thanks to Yogesh Rao.;Fix error;Bug fix
19.10.2014;2.1;2.1;MINOR;Fix OSGi Import-Package problem with the JMS API. Fixes LOG4J2-663. Thanks to Florian Brunner.;Fix import;Bug fix
19.10.2014;2.1;2.1;MINOR;Add support for custom SLF4J Markers in log4j-slf4j-impl module. Fixes LOG4J2-793.;Add support;Add support for a new feature
19.10.2014;2.1;2.1;MINOR;PatternLayout should use platform character encoding by default, not UTF-8. Fixes LOG4J2-783. Thanks to Minglei Lee.;Fix implementation;Bug fix
19.10.2014;2.1;2.1;MINOR;Add lookup for application main arguments. Fixes LOG4J2-771.;Add lookup;Add support for a new feature
19.10.2014;2.1;2.1;MINOR;Add lookup for JVM arguments. Fixes LOG4J2-787.;Add lookup;Add support for a new feature
19.10.2014;2.1;2.1;MINOR;Update Jackson to 2.4.2 from 2.4.1 (for XML and JSON processing). Fixes LOG4J2-790.;Update dependency;Update dependency
19.10.2014;2.1;2.1;MINOR;Incomplete documentation for JSONLayout. Fixes LOG4J2-766. Thanks to Bruno P. Kinoshita.;Fix documentation;Documentation
19.10.2014;2.1;2.1;MINOR;All life cycle implementations should be serializable. This is still work in progress. Fixes LOG4J2-800.;Make serializable;Code redesign
19.10.2014;2.1;2.1;MINOR;org.apache.logging.log4j.core.Logger should be serializable. This is still work in progress. Fixes LOG4J2-801.;Make serializable;Code redesign
19.10.2014;2.1;2.1;MINOR;Update javax.mail to 1.5.2 from 1.5.0. Fixes LOG4J2-810.;Update dependency;Update dependency
19.10.2014;2.1;2.1;MINOR;Update org.eclipse.persistence.jpa to 2.5.2 from 2.5.1. Fixes LOG4J2-822.	;Update dependency;Update dependency
19.10.2014;2.1;2.1;MINOR;FlumeAppender: maxDelay not in seconds, but milliseconds. Add time scale to some settings, for example maxDelayMillis instead of maxDelay. The old names are aliased for compatibility. Fixes LOG4J2-867.;Fix output;Bug fix
16.08.2014;2.0;2.0.2;PATCH;;;
16.08.2014;2.0;2.0.2;PATCH;Update Apache Flume to 1.5.0.1 from 1.5.0. Fixes LOG4J2-775.;Update dependency;Update dependency
16.08.2014;2.0;2.0.2;PATCH;Site: log4j-core component pages were still using the old logo. Fixes LOG4J2-773.;Fix old logo;Bug fix
16.08.2014;2.0;2.0.2;PATCH;Documentation improvement: link to dependency tree from log4j-core component page, link to log4j-core component page from FAQ page. Fixes LOG4J2-760.;Improve documentation;Documentation
16.08.2014;2.0;2.0.2;PATCH;"Resolved race condition that caused log file rotation to fail with error: ""Unable to create directory ..."" Fixes LOG4J2-679.";Fix race condition;Bug fix
16.08.2014;2.0;2.0.2;PATCH;Prevent application from hanging when PatternLayout configuration has opening '{' but no closing '}'. Fixes LOG4J2-726.;Prevent hanging;Bug fix
16.08.2014;2.0;2.0.2;PATCH;Startup takes a long time if you have empty packages attribute. Fixes LOG4J2-769. Thanks to Scott Harrington.;Long startup time;Bug fix
16.08.2014;2.0;2.0.2;PATCH;Improved asynchronous loggers and appenders to ensure the formatted message does not change even if parameters are modified by the application. (ParameterizedMessage was already safe.) Improved documentation. Fixes LOG4J2-763. Thanks to Stephen Connolly.;Improve asynchronous;Performance improvement
16.08.2014;2.0;2.0.2;PATCH;Emit warning message to console if no configuration file found. Fixes LOG4J2-729.;Emit warning message;Bug fix
16.08.2014;2.0;2.0.2;PATCH;Improve warning message when missing log4j-core in the classpath. Fixes LOG4J2-765.;Improve warning message;Maintainability improvement
16.08.2014;2.0;2.0.2;PATCH;Clarified in documentation that Commons Logging jar is required when using log4j-jcl. Fixes LOG4J2-722.;Clarify documentation;Documentation
16.08.2014;2.0;2.0.2;PATCH;Clarified in documentation that SLF4J API jar is required when using log4j-slf4j-impl. Fixes LOG4J2-723.;Clarify documentation;Documentation
16.08.2014;2.0;2.0.2;PATCH;Allow Log4jContextFactory subclasses to specify a custom ContextSelector. Fixes LOG4J2-730.;Fix subclasses specification;Bug fix
16.08.2014;2.0;2.0.2;PATCH;Fixed various minor site/documentation issues, mostly versioning related. Fixes LOG4J2-759.;Fix documentation;Documentation
16.08.2014;2.0;2.0.2;PATCH;Prevent JUnit test from creating unnecessary Log4j2Plugins.dat during build. Fixes LOG4J2-756. Thanks to Scott Harrington.;Remove unnecessary things;Code redesign
29.07.2014;2.0;2.0.1;PATCH;;;
29.07.2014;2.0;2.0.1;PATCH;Avoid unnecessary Clock calls when TimestampMessage is logged. Fixes LOG4J2-744. Thanks to Scott Harrington.;Improve clock calls;Maintainability improvement
29.07.2014;2.0;2.0.1;PATCH;Improved error message if configuration file not found. Fixes LOG4J2-704.;Improve error message;Maintainability improvement
29.07.2014;2.0;2.0.1;PATCH;Webapp configuration page has incorrect class name. Fixes LOG4J2-750. Thanks to Mike Calmus.;Fix documentation;Documentation
29.07.2014;2.0;2.0.1;PATCH;Retain the default date pattern after fixing the ISO8601 pattern. Fixes LOG4J2-749. Thanks to Scott Harrington.;Have default date pattern;Maintainability improvement
29.07.2014;2.0;2.0.1;PATCH;DatePatternConverter ISO8601_PATTERN now conforms to ISO8601. Fixes LOG4J2-670.;Conform to standard;Maintainability improvement
29.07.2014;2.0;2.0.1;PATCH;Reinstate the package configuration attribute for discovering custom plugins. Fixes LOG4J2-741.;Fix implementation;Bug fix
29.07.2014;2.0;2.0.1;PATCH;XInclude not working with relative path. Fixes LOG4J2-742. Thanks to Pascal Chollet.;Fix wrong implementation;Bug fix
29.07.2014;2.0;2.0.1;PATCH;Fixed typo in webapp manual regarding sample web.xml file. Fixes LOG4J2-740. Thanks to Kosta Krauth.;Fix typo;Documentation
29.07.2014;2.0;2.0.1;PATCH;RollingFileManager deadlock if async action thread fails to start. Fixes LOG4J2-738. Thanks to Timothy Stack.;Fix deadlock;Bug fix
29.07.2014;2.0;2.0.1;PATCH;Fixed log4j-bom so that it won't specify a default scope on any third party dependencies. Fixes LOG4J2-736.;Fix scope;Bug fix
29.07.2014;2.0;2.0.1;PATCH;Fixed log4j-bom so that it won't interfere with spring-bom and others. Fixes LOG4J2-735.;Fix interference;Bug fix
29.07.2014;2.0;2.0.1;PATCH;Updated documentation regarding extensions to LoggerContextFactory and Log4j 2 providers. Fixes LOG4J2-731.;Update documentation;Documentation
29.07.2014;2.0;2.0.1;PATCH;Fixed ClassLoader issues in loading Log4j providers in an OSGi environment. Fixes LOG4J2-373.;Fix ClassLoader;Bug fix
29.07.2014;2.0;2.0.1;PATCH;Added WebLoggerContextUtils class to log4j-web for helper methods useful for asynchronous servlets. Fixes LOG4J2-725.;Add class;Add support for a new feature
29.07.2014;2.0;2.0.1;PATCH;Added documentation for Custom Levels and Custom Loggers. Fixes LOG4J2-710.;Add documentation;Documentation
29.07.2014;2.0;2.0.1;PATCH;Correctly handle NetworkOnMainThreadException thrown on Android during Log4j2 initialization. Fixes LOG4J2-719.;Handle exception;Bug fix
29.07.2014;2.0;2.0.1;PATCH;Automatically disable log4j JMX when detecting we are running on Android. Fixes LOG4J2-716.;Automatically disable;Bug fix
29.07.2014;2.0;2.0.1;PATCH;Fixed AbstractDatabaseManager to close connection on writeInternal error. Fixes LOG4J2-657. Thanks to Stefan Wehner.;Close connection;Bug fix
29.07.2014;2.0;2.0.1;PATCH;Android: java.lang.VerifyError: org/apache/logging/log4j/core/util/Closer Fixes LOG4J2-713. Thanks to Nelson Melina.;Fix error;Bug fix
29.07.2014;2.0;2.0.1;PATCH;Android: Could not find class 'javax.naming.InitialContext', referenced from method org.apache.logging.log4j.core.lookup.JndiLookup.lookup. Fixes LOG4J2-703. Thanks to Nelson Melina.;Fix class;Bug fix
29.07.2014;2.0;2.0.1;PATCH;Update to LMAX Disruptor 3.3.0 from 3.2.1. Fixes LOG4J2-732.;Update dependency;Update dependency
29.07.2014;2.0;2.0.1;PATCH;Update to latest Jackson jars from the 2.4.1.X line. Fixes LOG4J2-733.;Update dependency;Update dependency
12.07.2014;2.0;2.0;MINOR;;;
12.07.2014;2.0;2.0;MINOR;Fixed issue where Async Logger does not log thread context stack data. API change: added method getImmutableStackOrNull() to ThreadContext.ContextStack interface. Fixes LOG4J2-705.;Fix issue;Bug fix
12.07.2014;2.0;2.0;MINOR;Update docs to clarify how to use formatter logger and standard logger together. Fixes LOG4J2-631.;Update docs;Documentation
12.07.2014;2.0;2.0;MINOR;Added support for generating custom logger wrappers that replace the existing log levels and extended logger wrappers that add custom log levels to the existing ones. Fixes LOG4J2-519.;Add support;Add support for a new feature
12.07.2014;2.0;2.0;MINOR;LoggerConfigs with no Level now inherit the Level from their parent. Fixes LOG4J2-441.;Fix wrong implementation;Bug fix
12.07.2014;2.0;2.0;MINOR;RegexFilter does not match multiline log messages. Fixes LOG4J2-696.	;Fix not matching logs;Bug fix
12.07.2014;2.0;2.0;MINOR;PatternLayout manual page missing documentation on header/footer. Fixes LOG4J2-699.;Missing documentatin;Documentation
12.07.2014;2.0;2.0;MINOR;Fixed Serialization error with SocketAppender and Async Loggers. (Fixed in RC2, but wasn't included in release notes.) Fixes LOG4J2-625.;Fix serialization;Bug fix
