Year,Date,Agg version,Version,Release,Changes,"",Type,General,General Category
2021,28/01/2021,1.18.,1.18.18,PATCH,"BUGFIX: Various tools using ecj under the hood (including intellij) could cause corrupt class files to be generated. PR #2637, lombok-intellij-plugin issue #969.",exception,IllegalArgumentException,Handle exception,Bug fix
2021,28/01/2021,1.18.,1.18.18,PATCH,969,exception,ClassFormatError,Handle exception,Bug fix
2021,28/01/2021,1.18.,1.18.18,PATCH,BUGFIX: Netbeans would not work with 1.18.16 anymore. Issue #2612.,,,Fix regression,Bug fix
2021,28/01/2021,1.18.,1.18.18,PATCH,"BUGFIX: @ExtensionMethod support in ecj improved when generics are involved. Issue #2648, PR #2658 thanks to @Rawi01.",Adapt to newer Java version,Fix failing compilation,Fix integration with external development tool,Bug fix
2021,28/01/2021,1.18.,1.18.18,PATCH,PLATFORM: using lombok.config files when compiling with sbt 1.4 now works again. Issue #2645,,,Fix failing compilation,Bug fix
2020,15/10/2020,1.18.,1.18.16,PATCH,,,,,
2020,15/10/2020,1.18.,1.18.16,PATCH,"BUGFIX: Version 1.18.14 could not be installed in Eclipse, it would break Eclipse.",,,Fix regression,Bug fix
2020,15/10/2020,1.18.,1.18.16,PATCH,BREAKING CHANGE: mapstruct users should now add a dependency to lombok-mapstruct-binding. This solves compiling modules with lombok (and mapstruct).,,,Fix dependency,Update dependency
2020,15/10/2020,1.18.,1.18.16,PATCH,IMPROBABLE BREAKING CHANGE: The generated hashcode has changed for classes that include both primitive fields and reference fields.,,The generated hashcode has changed for classes that include both primitive fields and reference fields,Change implementation,Code redesign
2020,15/10/2020,1.18.,1.18.16,PATCH,"FEATURE: Similar to @Builder, you can now configure a @SuperBuilder's 'setter' prefixes via @SuperBuilder(setterPrefix = ""set"") for example. We still discourage doing this. Pull Request #2357.",,Configure 'setter' prefixes,Add functionality,Add support for a new feature
2020,15/10/2020,1.18.,1.18.16,PATCH,"FEATURE: If using @Synchronized(""lockVar""), if lockVar is referring to a static field, the code lombok generates no longer causes a warning about accessing a static entity incorrectly. Issue #678",,,Add functionality,Add support for a new feature
2020,15/10/2020,1.18.,1.18.16,PATCH,FEATURE: @Jacksonized on a @Builder or @SuperBuilder will configure Jackson to use this builder when deserializing. Pull Request #2387 thanks to @JanRieke. @Jacksonized documentation.,,Add support for deserialization,Add functionality,Add support for a new feature
2020,15/10/2020,1.18.,1.18.16,PATCH,"FEATURE: The checkerframework support has been updated; the relevant annotations were renamed in checkerframework's APIs, lombok now generates the annotations according to their current API names.",,Generates the annotations according to their current API names,Add functionality,Add support for a new feature
2020,15/10/2020,1.18.,1.18.16,PATCH,FEATURE: Add option to cache hashCode via @EqualsAndHashCode(cacheStrategy = EqualsAndHashCode.CacheStrategy.LAZY). Issue #784 Pull Request #2513 thanks to @andrebrait.,,Add option to cache hashCode,Add functionality,Add support for a new feature
2020,15/10/2020,1.18.,1.18.16,PATCH,PLATFORM: Added support for compiling projects with OpenJ9 Pull Request #2437,,,Eclipse OpenJ9,Support for external development tool
2020,15/10/2020,1.18.,1.18.16,PATCH,PLATFORM: Improved support for recent JVM/javac versions (14 and 15) and new language features.,,Adapt to newer Java version,Add functionality,Add support for a new feature
2020,15/10/2020,1.18.,1.18.16,PATCH,"PERFORMANCE: Several performance improvements during parsing/compilation, both using javac and Eclipse. Thanks @Rawi01!",,Performance improvements during parsing/compilation,Code refinement,Performance improvement
2020,15/10/2020,1.18.,1.18.16,PATCH,"PERFORMANCE: The generated equals method will first compare primitives, then primitive wrappers and then reference fields. Manual re-ordering is possible using @Include(rank=n). Pull Request #2485, Issue #1543",,Switch order of methods calls,Code refinement,Performance improvement
2020,15/10/2020,1.18.,1.18.16,PATCH,BUGFIX: Delombok prints the first this parameter. Issue #2444,,,Fix wrong implementation,Bug fix
2020,15/10/2020,1.18.,1.18.16,PATCH,BUGFIX: Using val in combination with values whose generics include wildcards that reference themselves would cause a StackOverflowError in javac. Issue #2358.,exception,StackOverflowError,Handle exception,Bug fix
2020,15/10/2020,1.18.,1.18.16,PATCH,BUGFIX: Using @SuperBuilder on a class that has some fairly convoluted generics usage would fail with 'Wrong number of type arguments'. Issue #2359 Pull Request #2362,,Fix error wrong number of type arguments,Fix failing build,Bug fix
2020,15/10/2020,1.18.,1.18.16,PATCH,BUGFIX: Various lombok annotations on classes nested inside enums or interfaces would cause errors in eclipse. Issue #2369,,,Fix wrong implementation,Bug fix
2020,15/10/2020,1.18.,1.18.16,PATCH,BUGFIX: Trying to add @ExtensionMethods with exactly 2 arguments would fail in eclipse. Issue #1441 Pull Request #2376 thanks to @Rawi01.,exception,ArrayIndexOutOfBoundsException,Handle exception,Bug fix
2020,15/10/2020,1.18.,1.18.16,PATCH,BUGFIX: Javac sets incorrect annotated type on with methods. Issue #2463,,,Fix wrong implementation,Bug fix
2020,08/10/2020,1.18.,1.18.14,PATCH,,,,,
2020,01/02/2020,1.18.,1.18.12,PATCH,,,,,
2020,01/02/2020,1.18.,1.18.12,PATCH,"PLATFORM: Support for JDK13 (including yield in switch expressions, as well as delombok having a nicer style for arrow-style switch blocks, and text blocks).",,Adapt to newer Java version,Add functionality,Add support for a new feature
2020,01/02/2020,1.18.,1.18.12,PATCH,PLATFORM: Support for JDK14 (including pattern match instanceof expressions).,,Adapt to newer Java version,Add functionality,Add support for a new feature
2020,01/02/2020,1.18.,1.18.12,PATCH,"FEATURE: In lombok.config it is possible to import other config files, even from a .zip or .jar.",,"Import other config files, even from a .zip or .jar",Add functionality,Add support for a new feature
2020,01/02/2020,1.18.,1.18.12,PATCH,"FEATURE: You can now configure a builder's 'setter' prefixes via @Builder(setterPrefix = ""set"") for example. We discourage doing this, but if some library you use requires them, have at it. Pull Request #2174, Issue #1805.",,Configure 'setter' prefixes,Add functionality,Add support for a new feature
2020,01/02/2020,1.18.,1.18.12,PATCH,"FEATURE: If you use @Builder's @Singular, a plural form is also generated, which has the effect of adding all elements in the passed collection. If you pass a null reference, this would result in a message-less NullPointerException. Now, it results in that exception but with a useful message attached (uses the same config as @NonNull), or alternatively via a parameter on @Singular, you can choose to ignore such a call (add nothing, return immediately); this can be useful when deserializing (e.g. Jackson JSON) and JPA/Hibernate code. Issue #2221. singular documentation.",,,Add functionality,Add support for a new feature
2020,01/02/2020,1.18.,1.18.12,PATCH,"FEATURE: Tired of being unable to use @javax.annotation.ParametersAreNonnullByDefault or @org.eclipse.jdt.annotation.NonNullByDefault because then the equals method that lombok generates isn't valid? Fret no more; lombok can now add nullity annotations where relevant. Set the flavour of nullity annotation you prefer in your lombok.config. Applies to the return value of toString, withX, chainable setX, static constructors, build, builder, etcetera, and the parameter of equals, canEqual, and the plural form of @Singular marked fields for builder classes. Issue #788",,New annotation,Add annotation,Add support for a new feature
2020,01/02/2020,1.18.,1.18.12,PATCH,"BUGFIX: If using the sonarlint plugin in eclipse for projects bound to sonarcloud, you now no longer get internal errors on sonarlint processing. Issue #2351",,Fix internal errors on external tool,Fix integration with external development tool,Bug fix
2020,01/02/2020,1.18.,1.18.12,PATCH,"BUGFIX: lombok.experimental.Wither has been deprecated (it has been renamed to lombok.With). However, the intent is that lombok still handles the old annotation in case you haven't updated your lombok dep yet. However, only a star import on lombok.experimental.* worked; an explicit one would cause lombok to not generate any with method. Issue #2235",,,Fix regression,Bug fix
2020,01/02/2020,1.18.,1.18.12,PATCH,BUGFIX: Referring to an inner class inside the generics on a class marked with @SuperBuilder would cause the error wrong number of type arguments; required 3 Issue #2262; fixed by github user @Lekanich - thank you!,,Fix error wrong number of type arguments,Fix wrong implementation,Bug fix
2020,01/02/2020,1.18.,1.18.12,PATCH,"BUGFIX: Some of the code generated by @Builder did not include this. prefixes when accessing fields. While semantically it didn't matter, if you use the 'add this prefix for field accesses' save action in eclipse, the save action would break. Issue #2327",,,Fix wrong implementation,Bug fix
2020,01/02/2020,1.18.,1.18.12,PATCH,"BUGFIX: When lombok copies javadoc from fields to relevant methods, it should generate an appropriate @return this line if lombok copies the javadoc to a generated setter that is chainable (returns itself). It didn't do that when generating the 'setters' in a @Builder. Lombok also didn't generate an appropriate @return item for @With methods. The javadoc has also been updated slightly (the this reference in the javadoc is now rendered in a code tag).Issue #2323",,,Fix inconsistency,Bug fix
2020,01/02/2020,1.18.,1.18.12,PATCH,"IMPROBABLE BREAKING CHANGE: Lombok now generates qualified types (so, Outer.Inner instead of just Inner) in most type signatures that it generates; this should avoid exotic scenarios where the types lombok puts in signatures end up referring to unintended other types, which can occur if your class implements an interface that itself defines a type with the same name as one defined in your source file. I told you it was exotic. Thanks to Hunter Anderson for doing some preliminary work on this change. Issue #2268",,,Change implementation,Code redesign
2020,01/02/2020,1.18.,1.18.12,PATCH,IMPROBABLE BREAKING CHANGE: Running java -jar lombok.jar config -v <files> no longer shows which files do not mention the specified keys. Use --non-mentioned or -n to show them anyway.,,,Change implementation,Code redesign
2019,10/09/2019,1.18.,1.18.10,PATCH,,,,,
2019,10/09/2019,1.18.,1.18.10,PATCH,"PROMOTION: @Wither has been promoted to the main package, renamed to @With. Otherwise, no changes have been made to the annotation. The old experimental annotation will remain for a few versions as a deprecated annotation. If you had lombok.config configuration for this annotation, the configuration keys for this feature have been renamed.",,Move class to main package and rename it,Move file to different package,Code redesign
2019,10/09/2019,1.18.,1.18.10,PATCH,FEATURE: You can now configure a custom logger framework using the new @CustomLog annotation in combination with the lombok.log.custom.declaration configuration key. See the log documentation for more information. Pullrequest #2086 with thanks to Adam Juraszek.,,New annotation,Add annotation,Add support for a new feature
2019,10/09/2019,1.18.,1.18.10,PATCH,"ENHANCEMENT: Thanks to Mark Haynes, the staticConstructor will now also be generated if a (private) constructor already exists. Issue #2100",,,Add functionality,Add support for a new feature
2019,10/09/2019,1.18.,1.18.10,PATCH,ENHANCEMENT: val is now capable of decoding the type of convoluted expressions (particularly if the right hand side involves lambdas and conditional (ternary) expressions). Pull Request #2109 with thanks to Alexander Bulgakov.,,Add support for decoding the type of convoluted expressions,Add functionality,Add support for a new feature
2019,10/09/2019,1.18.,1.18.10,PATCH,"ENHANCEMENT: You can now configure the generated builder class name via the config system, using key lombok.builder.className. See the Builder documentation and SuperBuilder documentation",,Add support to configure the generated builder class name via the config system,Add functionality,Add support for a new feature
2019,10/09/2019,1.18.,1.18.10,PATCH,"ENHANCEMENT: If you mix up eclipse's non-null support, such as @NonNullByDefault, with lombok's @NonNull, you get a bunch of warnings about dead code that are inappropriate. These warnings are now suppressed, thanks to a contribution from Till Brychcy! Pull Request #2155",,,Fix warnings,Bug fix
2019,10/09/2019,1.18.,1.18.10,PATCH,ENHANCEMENT: @NonNull can now also generate checks using jdk's Objects.requireNonNull or Guava's Preconditions.checkNotNull. Issue #1197,,Add support for generating checks using jdk's Objects.requireNonNull or Guava's Preconditions.checkNotNull,Add functionality,Add support for a new feature
2019,10/09/2019,1.18.,1.18.10,PATCH,EXPERIMENT: Lombok is working together with checkerframework to enable detection of improper builder use (such as forgetting to set a mandatory property prior to calling build()). This experiment can be turned on by adding checkerframework = true to your lombok.config file.,,Enable detection of improper builder use,Add functionality,Add support for a new feature
2019,10/09/2019,1.18.,1.18.10,PATCH,BUGFIX: Using @JsonProperty or @JsonValue on a field in combination with @Setter or @Data would sometimes throw a ClassCastException during compilation. Issue #2156,exception,ClassCastException,Handle exception,Bug fix
2019,10/09/2019,1.18.,1.18.10,PATCH,BUGFIX: Delombok would turn something like List<byte[]>... in a method parameter to List<byte...>... Issue #2140,,,Fix wrong implementation,Bug fix
2019,10/09/2019,1.18.,1.18.10,PATCH,BUGFIX: Javac would generate the wrong equals and hashCode if a type-use annotation was put on an array type field Issue #2165,,Fix generating the wrong equals and hashCode,Fix wrong implementation,Bug fix
2019,10/09/2019,1.18.,1.18.10,PATCH,BUGFIX: Eclipse 2019-06 + JDK-12 compatibility + an @Singular builder entry would produce a cascade of error dialogs. Issue #2169,,,Align with with external Java evolution,Bug fix
2019,10/09/2019,1.18.,1.18.10,PATCH,BUGFIX: Javac would throw a NullPointerException if the package-info.java did not contain a package declaration. Issue #2184,exception:NPE,NullPointerException,Handle exception,Bug fix
2019,10/09/2019,1.18.,1.18.10,PATCH,"BUGFIX: Javac sets incorrect annotated type on constructor, getter and setter. Issue #2189",,,Fix wrong implementation,Bug fix
2019,10/09/2019,1.18.,1.18.10,PATCH,"IMPROBABLE BREAKING CHANGE: Stricter validation of configuration keys dealing with identifiers and types (lombok.log.fieldName, lombok.fieldNameConstants.innerTypeName, lombok.copyableAnnotations).",,Stricter validation of configuration keys dealing with identifiers and types,Change implementation,Code redesign
2019,10/09/2019,1.18.,1.18.10,PATCH,IMPROBABLE BREAKING CHANGE: The fields generated inside builders for fields with defaults (with @Builder on a class with fields marked @Default) now have $value as the name; direct manipulation of these fields is not advised because there is an associated $set variable that also needs to be taken into account. Issue #2115,,,Change implementation,Code redesign
2019,07/05/2019,1.18.,1.18.8,PATCH,,,,,
2019,07/05/2019,1.18.,1.18.8,PATCH,"FEATURE: You can now configure @FieldNameConstants to CONSTANT_CASE the generated constants, using a lombok.config option. See the FieldNameConstants documentation. Issue #2092.",,,Add functionality,Add support for a new feature
2019,07/05/2019,1.18.,1.18.8,PATCH,FEATURE: You can now suppress generation of the builder method when using @Builder; usually because you're only interested in the toBuilder method. As a convenience we won't emit warnings about missing @Builder.Default annotations when you do this. Issue #2046,,Suppress generation of the builder method,Add functionality,Add support for a new feature
2019,07/05/2019,1.18.,1.18.8,PATCH,FEATURE: You can now change the access modifier of generated builder classes. Issue #2083.,,Change the access modifier of generated builder classes,Add functionality,Add support for a new feature
2019,07/05/2019,1.18.,1.18.8,PATCH,"FEATURE: When using @NonNull, or any other annotation that would result in a null-check, you can configure to generate an assert statement instead. Issue #2078.",,Generate an assert statement,Add functionality,Add support for a new feature
2019,07/05/2019,1.18.,1.18.8,PATCH,FEATURE: Lombok now knows exactly how to treat @com.fasterxml.jackson.annotation.JsonProperty and will copy it to the right places for example when making builders. Issue #1961 Issue #1981,,,Add functionality,Add support for a new feature
2019,07/05/2019,1.18.,1.18.8,PATCH,PLATFORM: A few lombok features (most notably delombok) failed on JDK12. Issue #2082,,,Align with with external Java evolution,Bug fix
2019,07/05/2019,1.18.,1.18.8,PATCH,BUGFIX: var/val on methods that return an intersection type would now work in Eclipse. Issue #1986,,,Fix wrong implementation,Bug fix
2019,07/05/2019,1.18.,1.18.8,PATCH,BUGFIX: Fix for java6 regression if a field has javadoc. Issue #2066,,Adapt to newer Java version,Fix failing build,Bug fix
2019,07/05/2019,1.18.,1.18.8,PATCH,BUGFIX: Delombok now delomboks java10's own var as var and not as the actual underlying type. Issue #2049,,,Align with with external Java evolution,Bug fix
2019,07/05/2019,1.18.,1.18.8,PATCH,"BUGFIX: If you use @Builder and manually write the build() method in your builder class, javac would error out instead of deferring to your implementation. Issue #2050 Issue #2061",,,Fix wrong implementation,Bug fix
2019,07/05/2019,1.18.,1.18.8,PATCH,BUGFIX: @SuperBuilder together with @Singular on non-lists would produce an erroneous emptyList call. Issue #2104.,,,Fix failing compilation,Bug fix
2019,07/05/2019,1.18.,1.18.8,PATCH,"IMPROBABLE BREAKING CHANGE: For fields and parameters marked non-null, if the method body starts with an assert statement to ensure the value isn't null, no code to throw an exception will be generated.",,,Change implementation,Code redesign
2019,07/05/2019,1.18.,1.18.8,PATCH,"IMPROBABLE BREAKING CHANGE: When using ecj to compile java code with @Builder or @SuperBuilder in it, and a builder setter method was generated for a @NonNull-marked method, no explicit null check would be present. However, running javac on the exact same file would produce the null check. Now ecj also produces this null check. Issue #2120.",,,Change implementation,Code redesign
2019,07/05/2019,1.18.,1.18.8,PATCH,IMPROBABLE BREAKING CHANGE: We slightly changed the message of the exception lombok generates to handle @NonNull marked parameters. Issue #2122,,Change exception message,Change implementation,Code redesign
2019,12/02/2019,1.18.,1.18.6,PATCH,,,,,
2019,12/02/2019,1.18.,1.18.6,PATCH,"FEATURE: Javadoc on fields will now also be copied to the Builders' setters. Thanks for the contribution, Emil Lundberg. Issue #2008",,,Add functionality,Add support for a new feature
2019,12/02/2019,1.18.,1.18.6,PATCH,FEATURE: The @FieldNameConstants feature now allows you to write the inner type by hand and add whatever you like to it; lombok will add the constants to this class. See the updated FieldNameConstants feature page.,,,Add functionality,Add support for a new feature
2019,12/02/2019,1.18.,1.18.6,PATCH,FEATURE: There is now a lombok.config key to configure @ToString's call super behavior; it's just like @EqualsAndHashCode which has had it for a while now. Issue #1918,,,Add functionality,Add support for a new feature
2019,12/02/2019,1.18.,1.18.6,PATCH,ENHANCEMENT: The toString generation of enums now contains the name of the enum constant. Issue #1916,,,Add functionality,Add support for a new feature
2019,12/02/2019,1.18.,1.18.6,PATCH,"PLATFORM: Due to changes to switch statements in JDK12, lombok wasn't working with the JDK12 preview. Issue #1888",,,Align with with external Java evolution,Bug fix
2019,12/02/2019,1.18.,1.18.6,PATCH,BUGFIX: Using @Delegate in combination @NonNull would give an error in jdk8. Issue #1935,,,Align with with external Java evolution,Bug fix
2019,12/02/2019,1.18.,1.18.6,PATCH,"BUGFIX: Using the new @FieldNameConstants in eclipse would cause errors in the error log view, and error popups if save actions are turned on. Issue #2024",,,Fix wrong implementation,Bug fix
2019,12/02/2019,1.18.,1.18.6,PATCH,"BUGFIX: Since version 1.18.4, the delombok ant task didn't work and errored with a NoClassDefFoundError. Issue #1932",,,Fix regression,Bug fix
2019,12/02/2019,1.18.,1.18.6,PATCH,"BUGFIX: Combining both @Setter and @Wither on the same field, when that field also has javadoc with a --setter-- section or an @param tag, resulted in a race condition where the first handler to get to the field would take that part of the javadoc. This is a step along the way to fixing Issue #1033",,,Fix wrong implementation,Bug fix
2019,12/02/2019,1.18.,1.18.6,PATCH,"BUGFIX: Compiling multi-module projects would fail on forcing new rounds. Issue #1723, Issue #1858, Issue #1946, Issue #2028",,Adapt to newer Java version,Fix failing compilation,Bug fix
2019,12/02/2019,1.18.,1.18.6,PATCH,Issue #1858,,,Fix failing compilation,Bug fix
2019,12/02/2019,1.18.,1.18.6,PATCH,Issue #1946,,Adapt to newer Java version,Fix failing compilation,Bug fix
2019,12/02/2019,1.18.,1.18.6,PATCH,Issue #2028,,Adapt to newer Java version,Fix regression,Bug fix
2018,30/10/2018,1.18.,1.18.4,PATCH,,,,,
2018,30/10/2018,1.18.,1.18.4,PATCH,PLATFORM: Support for Eclipse Photon. Issue #1831,exception,UnsupportedOperationException,Handle exception,Bug fix
2018,30/10/2018,1.18.,1.18.4,PATCH,PLATFORM: Angular IDE is now recognized by the installer Issue #1830,,,Angular IDE,Support for external development tool
2018,30/10/2018,1.18.,1.18.4,PATCH,PLATFORM: Many improvements for lombok's JDK10/11 support.,,Adapt to newer Java version,Code refactoring,Maintainability improvement
2018,30/10/2018,1.18.,1.18.4,PATCH,BREAKING CHANGE: The @FieldNameConstants feature has been completely redesigned. Issue #1774 FieldNameConstants documentation,,Class feature has been completely redesigned,Change implementation,Code redesign
2018,30/10/2018,1.18.,1.18.4,PATCH,"BREAKING CHANGE: Lombok will now always copy specific annotations around (from field to getter, from field to builder 'setter', etcetera): A specific curated list of known annotations where that is the right thing to do (generally, @NonNull style annotations from various libraries), as well as any annotations you explicitly list in the lombok.copyableAnnotations config key in your lombok.config file. Also, lombok is more consistent about copying these annotations. (Previous behaviour: Lombok used to copy any annotation whose simple name was NonNull, Nullable, or CheckForNull). Issue #1570 and Issue #1634",,,Change implementation,Code redesign
2018,30/10/2018,1.18.,1.18.4,PATCH,FEATURE: Lombok's @NonNull annotation can now be used on type usages (annotation on type usages has been introduced in JDK 8). @Builder's @Singular annotation now properly deals with annotations on the generics type on the collection: @Singular List<@NonNull String> names; now does the right thing.,,Adapt to newer Java version,Add functionality,Add support for a new feature
