Changes,General Category
Fix Javadoc in ThreadMonitor#run() method. #273. Thanks to Arturo Bernal.,Documentation
"FileUtils.listFiles() does not list matching files if File parameter is a symbolic link. Fixes IO-749. Thanks to haihuiyang, Gary Gregory.",Bug fix
"Fix typo in Javadocs for FileUtils#convertFileCollectionToFileArray() #276. Thanks to niranjanghule, Gary Gregory.",Documentation
"Avoid Code Duplication: Reuse Sleep from ThreadMonitor #66. Thanks to DaGeRe, Gary Gregory.",Maintainability improvement
"FileUtils.iterateFiles also lists directories. Fixes IO-750. Thanks to Sita Geßner, Sebastian Peters, Gary Gregory.",Bug fix
"Wrong exception message in FileUtils.setLastModified(File, File). Fixes IO-721. Thanks to Dirk Heinrichs, Gary Gregory.",Bug fix
"Infinite loop in ReaderInputStream instead of throwing exception for CodingErrorAction.REPORT. Fixes IO-717. Thanks to Marcono1234, Gary Gregory.",Bug fix
"ReaderInputStream enter infinite loop for too small buffer sizes. Fixes IO-716. Thanks to Marcono1234, Gary Gregory.",Bug fix
"Infinite loop in CharSequenceInputStream.read for 4-byte characters with UTF-8 and 3-byte buffer. Fixes IO-638. Thanks to Thayne McCombs, Gary Gregory.",Bug fix
"PathUtils.setReadOnly(Path, boolean, LinkOption...) should add READ_* file attributes when using POSIX. Fixes IO-638. Thanks to Gary Gregory.",Bug fix
"PathUtils.setReadOnly(Path, boolean, LinkOption...) readOnly argument is always assumed true on POSIX. Fixes IO-638. Thanks to Gary Gregory.",Bug fix
"Prevent IllegalArgumentExceptions in BrokenInputStream/Reader/OutputStream/Writer #278. Fixes IO-729. Thanks to Rob Spoor, Gary Gregory.",Bug fix
"FileUtils.copyURLToFile(URL, File, int, int) leaks its URLConnection. Called by FileUtils.copyURLToFile(URL, File). Thanks to Gary Gregory.",Security improvement
"Fixed ReaderInputStream not calling CharsetEncoder.flush issue #283. Fixes IO-714. Thanks to kevinwang1975, Gary Gregory.",Bug fix
Minor changes #287. Thanks to Arturo Bernal.,Maintainability improvement
-,Maintainability improvement
-,Maintainability improvement
"Update FileWriterWithEncoding to extend ProxyWriter #296. Fixes IO-756. Thanks to wodencafe, Gary Gregory, Bruno P. Kinoshita.",Code redesign
Initialize the message of an IOExceptionList to a default if null. Thanks to Gary Gregory.,Code redesign
"When deleting symlinks, File/PathUtils.deleteDirectory() changes file permissions of the target. Fixes IO-751. Thanks to Gary Gregory, Richard Cyganiak.",Bug fix
"ReaderInputStream maps null Charset, Charset name, and CharsetEncoder to the platform default instead of throwing a NullPointerException. Thanks to Gary Gregory.",Bug fix
CharSequenceInputStream maps null Charset and Charset name to the platform default instead of throwing a NullPointerException. Thanks to Gary Gregory.,Bug fix
"WriterOutputStream maps null Charset, Charset name, and CharsetEncoder name to the platform default instead of throwing a NullPointerException. Thanks to Gary Gregory.",Bug fix
"FileUtils.copyURLToFile should create target parent directories and overwrite target file #319. Thanks to Chad Wilson, Gary Gregory.",Bug fix
"Fix incorrect FilenameUtils Javadoc for null bytes #310. Fixes IO-484. Thanks to Marcono1234, Gary Gregory.",Documentation
Change to uppercase variable constant. #323. Fixes IO-484. Thanks to Arturo Bernal.,Bug fix
"IOCase.isCaseSensitive(IOCase) result is backward #325. Fixes IO-484. Thanks to David Huang, Gary Gregory.",Bug fix
"Deprecate PathUtils.NOFOLLOW_LINK_OPTION_ARRAY in favor of noFollowLinkOptionArray(). Fixes IO-758. Thanks to Marcono1234, Gary Gregory.",Deprecate functionality
"Improve ReaderInputStream documentation #291. Thanks to Marcono1234, Gary Gregory.",Documentation
Fix misleading comments in FileFilterTest #334. Thanks to richarda23.,Maintainability improvement
Add missing Javadoc for exceptions thrown for invalid arguments #339. Thanks to Diego Marcilio.,Documentation
FileFilterTest minor fixes #340. Thanks to richarda23.,Maintainability improvement
-,Code redesign
"IOUtils.write() throws OutOfMemoryError/NegativeArraySizeException while writing big strings #343. Fixes IO-764. Thanks to DaGeRe, Gary Gregory.",Bug fix
-,Bug fix
"Add reserved Windows file names CONIN$ and CONOUT$ to FileSystem #355. Fixes IO-768. Thanks to Marcono1234, Michael Osipov.",Bug fix
"RegexFileFilter is no longer Serializable. Fixes IO-773. Thanks to Dominik Reinarz, Gary Gregory.",Bug fix
"[Javadoc] FileFilterUtils doc does not match impl: missing some file filters. Fixes IO-763. Thanks to Richard Adams, Gary Gregory.",Documentation
"FileSystem.WINDOWS.isReservedFileName doesn't check for file extension. Fixes IO-762. Thanks to Leonidas Chiron, Gary Gregory.",Bug fix
"Confusing Javadoc on IOUtils#resourceToURL() and other resource* methods. Fixes IO-772. Thanks to Dan Ziemba, Gary Gregory.",Documentation
"FileUtils.copyFile methods throw an unnecessary ""Failed to copy full contents from"" exception. Fixes IO-443. Thanks to Dan Ziemba, Gary Gregory.",Bug fix
"Pick up Javadoc from super for override write() methods in AbstractByteArrayOutputStream and ByteArrayOutputStream. Fixes IO-564. Thanks to Hao Zhong, Bernd Eckenfels, Pascal Schumacher, Gary Gregory.",Documentation
Fix minor typos #367. Thanks to Marc Wrobel.,Maintainability improvement
Fix parameters to requireNonNull call in DeferredOutputSteam #368. Fixes IO-776. Thanks to Chris Povirk.,Bug fix
"Fix PathUtils.copyFileToDirectory(URL,Path,CopyOption[]). Thanks to Gary Gregory.",Bug fix
"FileUtils.doCopyFile uses different methods to check the file sizes. Fixes IO-386. Thanks to Sebb, Bernd Eckenfels, zhipengxu, Gary Gregory.",Bug fix
Fix typos #375. Thanks to Michael Ernst.,Maintainability improvement
FilenameUtils.normalize javadoc and tests #383. Fixes IO-611. Thanks to Fedor Urvanov.,Bug fix
-,Documentation
"Better docs in IOUtils and IOUtils.byteArray(int size) #374. Fixes IO-611. Thanks to ArdenL-Liu, Bruno P. Kinoshita, Gary Gregory.",Documentation
"SequenceReader should close readers when its close method is called #391. Fixes IO-782. Thanks to Matteo Di Giovinazzo, Gary Gregory.",Bug fix
"Fix symbolic link file filter #450. Fixes IO-790. Thanks to Miguel Muñoz, Gary Gregory.",Bug fix
"Apply nanoseconds precision for QueueInputStream timeout duration. #453. Fixes IO-790. Thanks to maxxedev, Gary Gregory, Bruno P. Kinoshita.",Code redesign
-,Documentation
Fix overflow for FileUtilsTest constants #456. Thanks to Marcono1234.,Bug fix
Serialization is deprecated and will be removed in 3.0. Thanks to Gary Gregory.,Code redesign
"FileSystemUtils.performCommand(String[], int, Duration): Use Locale.getDefault() instead of ENGLISH. Thanks to Gary Gregory.",Code redesign
Add GitHub coverage.yml. Thanks to Gary Gregory.,Support for external development tool
"Add MemoryMappedFileInputStream #215. Fixes IO-726. Thanks to shollander, Gary Gregory.",Add support for a new feature
Add BrokenReader.INSTANCE. Thanks to Gary Gregory.,Add support for a new feature
Add UncheckedBufferedReader. Thanks to Gary Gregory.,Add support for a new feature
Add UncheckedFilterReader. Thanks to Gary Gregory.,Add support for a new feature
Add UncheckedFilterWriter. Thanks to Gary Gregory.,Add support for a new feature
Add UncheckedFilterInputStream. Thanks to Gary Gregory.,Add support for a new feature
Add UncheckedFilterOutputStream. Thanks to Gary Gregory.,Add support for a new feature
Add BrokenInputStream.INSTANCE. Thanks to Gary Gregory.,Add support for a new feature
Add ClosedInputStream.INSTANCE and deprecate CLOSED_INPUT_STREAM. Thanks to Gary Gregory.,Add support for a new feature
-,Deprecate functionality
Add ClosedReader.INSTANCE and deprecate CLOSED_READER. Thanks to Gary Gregory.,Add support for a new feature
-,Deprecate functionality
Add BrokenWriter.INSTANCE. Thanks to Gary Gregory.,Add support for a new feature
Add ClosedOutputStream.INSTANCE and deprecate CLOSED_OUTPUT_STREAM. Thanks to Gary Gregory.,Add support for a new feature
-,Deprecate functionality
Add ClosedWriter.INSTANCE and deprecate CLOSED_WRITER. Thanks to Gary Gregory.,Add support for a new feature
-,Deprecate functionality
Add NullOutputStream.INSTANCE and deprecate NULL_OUTPUT_STREAM. Thanks to Gary Gregory.,Add support for a new feature
-,Deprecate functionality
Add NullPrintStream.INSTANCE and deprecate NULL_PRINT_STREAM. Thanks to Gary Gregory.,Add support for a new feature
-,Deprecate functionality
Add NullWriter.INSTANCE and deprecate NULL_WRITER. Thanks to Gary Gregory.,Add support for a new feature
-,Deprecate functionality
Add NullInputStream.INSTANCE. Thanks to Gary Gregory.,Add support for a new feature
Add NullReader.INSTANCE. Thanks to Gary Gregory.,Add support for a new feature
"Add PathUtils.readString(Path, Charset). Thanks to Gary Gregory.",Add support for a new feature
"Add FileUtils.newOutputStream(File, boolean). Thanks to Gary Gregory.",Add support for a new feature
"Add PathUtils.newOutputStream(Path, boolean). Thanks to Gary Gregory.",Add support for a new feature
Add UncheckedAppendable. Thanks to Gary Gregory.,Add support for a new feature
Add and reuse UncheckedIOExceptions. Thanks to Gary Gregory.,Add support for a new feature
Add PathUtils.getTempDirectory(). Thanks to Gary Gregory.,Add support for a new feature
Add FileSystem.getNameSeparator(). Thanks to Gary Gregory.,Add support for a new feature
Add FileSystem.normalizeSeparators(). Thanks to Gary Gregory.,Add support for a new feature
"Add PathUtils.isNewer(Path, FileTime, LinkOption...). Thanks to Gary Gregory.",Add support for a new feature
"Add PathUtils.isNewer(Path, Instant, LinkOption...). Thanks to Gary Gregory.",Add support for a new feature
"Add AgeFileFilter.AgeFileFilter(Instant). Add AgeFileFilter.AgeFileFilter(Instant, boolean). Thanks to Gary Gregory.",Add support for a new feature
Add FileUtils.lastModifiedFileTime(File). Thanks to Gary Gregory.,Add support for a new feature
Add FileTimes. Thanks to Gary Gregory.,Add support for a new feature
"Add PathUtils.waitFor(Path, Duration, LinkOption...). Thanks to Gary Gregory.",Add support for a new feature
Add org.apache.commons.io.input.Tailer.getDelayDuration(). Thanks to Gary Gregory.,Add support for a new feature
Add FileUtils.current(). Thanks to Gary Gregory.,Add support for a new feature
"Add and use PathUtils.setLastModifiedTime(Path) for more precision. Add and use PathUtils.setLastModifiedTime(Path, Path) for more precision. Thanks to Gary Gregory.",Add support for a new feature
"Add and use PathUtils.isNewer(Path, ChronoZonedDateTime, LinkOption...) for more precision. Add and use PathUtils.isNewer(Path, Path) for more precision. Add and use FileUtils.isNewer(File, FileTime) for more precision. Thanks to Gary Gregory.",Add support for a new feature
"Add and use PathUtils.isOlder(Path, FileTime, LinkOption...). Add and use PathUtils.isOlder(Path, Instant, LinkOption...). Add and use PathUtils.isOlder(Path, long, LinkOption...). Add and use PathUtils.isOlder(Path, Path). Thanks to Gary Gregory.",Add support for a new feature
Add and use PathUtils.sizeOf(Path). Add and use PathUtils.sizeOfAsBigInteger(Path). Add and use PathUtils.sizeOfDirectory(Path). Add and use PathUtils.sizeOfDirectoryAsBigInteger(Path). Thanks to Gary Gregory.,Add support for a new feature
"Add and use IOCase.value(IOCase, IOCase). Thanks to Gary Gregory.",Add support for a new feature
"Add Tailer.Tailable interface to allow tailing of remote files for example using jCIFS. Thanks to Jon Freedman, Gary Gregory.",Add support for a new feature
Add and use RandomAccessFileMode. Thanks to Gary Gregory.,Add support for a new feature
"Add PathUtils.writeString(Path, CharSequence, Charset, OpenOption...). Thanks to Gary Gregory.",Add support for a new feature
"Add PathUtiFiles.getFileAttributeView() shorthands: - PathUtils.getAclFileAttributeView(Path, LinkOption...) - PathUtils.getDosFileAttributeView(Path, LinkOption...) - PathUtils.getPosixFileAttributeView(Path, LinkOption...) Thanks to Gary Gregory.",Add support for a new feature
Make commons-io a JPMS module by adding module-info.class. Fixes IO-747.,Add support for a new feature
"Add IOUtils method to copy output stream to input stream #281. Fixes IO-753. Thanks to SebastianDietrich, Gary Gregory.",Add support for a new feature
"Add PathUtils.isPosix(Path, LinkOption...). #290 Thanks to Gary Gregory.",Add support for a new feature
"Add PathUtils.readAttributes(Path, Class, LinkOption...). #290 Thanks to Gary Gregory.",Add support for a new feature
"Add IOExceptionList.checkEmpty(List, Object). Thanks to Gary Gregory.",Add support for a new feature
"Add IOBiConsumer, IOTriConsumer, IOComparator, IOUnaryOperator, IOBinaryOperator. Thanks to Gary Gregory.",Add support for a new feature
"Add and reuse IOConsumer forAll(*), forEach(*), and forEachIndexed(*). Thanks to Gary Gregory.",Add support for a new feature
Add CharsetEncoders. Thanks to Gary Gregory.,Add support for a new feature
Add CharsetDecoders. Thanks to Gary Gregory.,Add support for a new feature
"Add PathUtils.createParentDirectories(Path, LinkOption, FileAttribute...). Thanks to Gary Gregory.",Add support for a new feature
Update FileEntry to use FileTime instead of long for file time stamps. Thanks to Gary Gregory.,Code redesign
"Add more tests for IOUtils.contentEqualsIgnoreEOL #137. Fixes IO-680. Thanks to XenoAmess, sebbASF, Gary Gregory.",Quality assurance
Reduce boilerplate through new UncheckedIO class and friends in org.apache.commons.io.function. Thanks to Gary Gregory.,Maintainability improvement
Add PathUtils.touch(Path). Thanks to Gary Gregory.,Add support for a new feature
Add FileSystem.getIllegalFileNameCodePoints(). Thanks to Gary Gregory.,Add support for a new feature
"Add FileUtils.isFileNewer(File, ChronoLocalDate, OffsetTime). Add FileUtils.isFileNewer(File, OffsetDateTime). Add FileUtils.isFileOlder(File, ChronoLocalDate, OffsetTime). Add FileUtils.isFileOlder(File, OffsetDateTime). Thanks to Isira Seneviratne, Gary Gregory.",Add support for a new feature
Add IOBiConsumer.noop(). Thanks to Gary Gregory.,Add support for a new feature
Add IOUtils.closeQuietly(Iterable<Closeable>). Add IOUtils.closeQuietly(Stream<Closeable>). Thanks to Gary Gregory.,Add support for a new feature
"Add Charsets.toCharset(Charset, Charset). Add Charsets.toCharset(String, Charset). Thanks to Gary Gregory.",Add support for a new feature
"Add XmlStreamWriter(OutputStream, Charset). Thanks to Gary Gregory.",Add support for a new feature
Add PathUtils.getLastModifiedFileTime(*). Thanks to Gary Gregory.,Add support for a new feature
"Add IOBiFunction, IOTriFunction, IOQuadFunction, IOPredicate, IOIterator, IOSpliterator, IOBaseStream, IOStream, FilesUncheck. Thanks to Gary Gregory.",Add support for a new feature
Add IOUtils.consume(Reader). Thanks to Gary Gregory.,Add support for a new feature
Add IOSupplier.asSupplier(). Thanks to Gary Gregory.,Add support for a new feature
Add IOFunction.asFunction(). Thanks to Gary Gregory.,Add support for a new feature
Add IOConsumer.asConsumer(). Thanks to Gary Gregory.,Add support for a new feature
Add TimestampedObserver.isClosed(). Thanks to Gary Gregory.,Add support for a new feature
IOExceptionList implements Iterable. Thanks to Gary Gregory.,Add support for a new feature
"Add support for Appendable to HexDump #418. Fixes IO-784. Thanks to Fredrik Kjellberg, Gary Gregory.",Add support for a new feature
"Add and use ThreadUtils. Thanks to DaGeRe, Gary Gregory.",Add support for a new feature
Add UnsynchronizedFilterInputStream. Fixes IO-786. Thanks to Gary Gregory.,Add support for a new feature
"Add UnsynchronizedBufferedInputStream. Fixes IO-786. Thanks to Gary Gregory, Benoit Tellier.",Add support for a new feature
Add FileSystem.getBlockSize(). Thanks to Gary Gregory.,Add support for a new feature
Add builders and avoid creating more constructors for all permutations of current options. Thanks to Gary Gregory.,Add support for a new feature
-,Maintainability improvement
"Refactor using new Supplier API IOUtils.toString(IOSupplier<InputStream>, Charset[, IOSupplier<String>]). Thanks to Gary Gregory, maxxedev.",Maintainability improvement
"Refactor using new Supplier API org.apache.commons.io.file.PathUtils.copy(IOSupplier<InputStream>, Path, CopyOption...). Thanks to Gary Gregory, maxxedev.",Maintainability improvement
"Bump actions/cache from 2.1.6 to 3.0.10 #307, #337, #393. Thanks to Dependabot, Gary Gregory.",Update dependency
-,Update dependency
"Bump actions/checkout from 2.3.4 to 3.1.0 #286, #298, #330, #392. Thanks to Dependabot, Gary Gregory.",Update dependency
-,Update dependency
"Bump actions/setup-java from 2 to 3.6.0 #346, #397. Thanks to Dependabot.",Update dependency
Bump github/codeql-action from 1 to 2 #353. Thanks to Dependabot.,Update dependency
"Bump Maven Javadoc plugin from 3.2.0 to 3.4.1. Thanks to Dependabot, Gary Gregory.",Update dependency
-,Update dependency
"Bump spotbugs-maven-plugin from 4.2.3 to 4.7.3.0 #250, #259, #272, #274, #285, #288, #289, #305, #315, #326, #338, #360, #366, #370, #380, #395, #403. Thanks to Dependabot.",Update dependency
"Bump spotbugs from 4.5.2 to 4.7.3 #313, #317, #357, #382, #398. Thanks to Gary Gregory, Dependabot.",Update dependency
-,Update dependency
Bump JUnit from 5.7.2 to 5.8.2. Thanks to Gary Gregory.,Update dependency
"Bump maven-enforcer-plugin from 3.0.0-M3 to 3.3.0 #255, #363, #431, #446. Thanks to Dependabot.",Update dependency
"Bump checkstyle from 8.44 to 9.3 #256, #257, #266, #279, #292. #308. Thanks to Dependabot, Gary Gregory.",Update dependency
-,Update dependency
"Bump junit-bom from 5.8.0-M1 to 5.9.1 #260, #271, #275, #309, #386. Thanks to Dependabot.",Update dependency
"Bump mockito-inline from 3.11.2 to 4.11.0 #262, #264, #282, #306, #314, #331, #348, #359, #381, #399, #405, #414, #420. Thanks to Dependabot, Gary Gregory.",Update dependency
"Bump jmh.version from 1.32 to 1.36 #258, #316, #342, #404. Thanks to Dependabot.",Update dependency
"Bump moditect-maven-plugin from 1.0.0.RC1 to 1.0.0.Final #280, #439, #445. Thanks to Dependabot.",Update dependency
"Bump junit-pioneer from 1.4.2 to 1.9.1 #304. #335, #362, #402, #406, #409. Thanks to Dependabot, Gary Gregory.",Update dependency
-,Update dependency
Bump japicmp-maven-plugin from 0.15.3 to 0.16.0. Thanks to Gary Gregory.,Update dependency
"Bump commons-parent from 52 to 57 #388, #415, #421, #184. Thanks to Gary Gregory, Dependabot.",Update dependency
-,Update dependency
Bump jacoco-maven-plugin from 0.8.7 to 0.8.8. Thanks to Gary Gregory.,Update dependency
Bump maven-antrun-plugin from 3.0.0 to 3.1.0 #354. Thanks to Dependabot.,Update dependency
Bump commons.surefire.version 3.0.0-M5 to 3.0.0-M7. Thanks to Gary Gregory.,Update dependency
Bump PMD from 6.44.0 to 6.52.0. Thanks to Gary Gregory.,Update dependency
Bump maven-pmd-plugin from 3.16.0 to 3.19.0. Thanks to Gary Gregory.,Update dependency
Bump apache-rat from 0.13 to 0.14. Thanks to Gary Gregory.,Update dependency
Bump exec-maven-plugin from 3.0.0 to 3.1.0 #369. Thanks to Dependabot.,Update dependency
Bump maven-checkstyle-plugin from 3.1.2 to 3.2.0 #376. Thanks to Dependabot.,Update dependency
Bump apache-rat-plugin from 0.14 to 0.15 #387. Thanks to Dependabot.,Update dependency
Bump default buffer size for CharSequenceInputStream to IOUtils#DEFAULT_BUFFER_SIZE. Thanks to Gary Gregory.,Code redesign
Bump default buffer size for ChunkedOutputStream to IOUtils#DEFAULT_BUFFER_SIZE. Thanks to Gary Gregory.,Code redesign
Bump default buffer size for ChunkedWriter to IOUtils#DEFAULT_BUFFER_SIZE. Thanks to Gary Gregory.,Code redesign
Bump default buffer size for ReaderInputStream to IOUtils#DEFAULT_BUFFER_SIZE. Thanks to Gary Gregory.,Code redesign
Bump default buffer size for WriterOutputStream to IOUtils#DEFAULT_BUFFER_SIZE. Thanks to Gary Gregory.,Code redesign
,
FileUtils.listFiles does not list matching files if File parameter is a symbolic link. Fixes IO-741. Thanks to Zach Sherman.,Bug fix
FileUtils#deleteDirectory(File) exception Javadoc inaccurate update #245. Fixes IO-724. Thanks to liran2000.,Documentation
Minor changes #243. Thanks to Arturo Bernal.,Maintainability improvement
-,Maintainability improvement
-,Maintainability improvement
-,Maintainability improvement
Replace construction of FileInputStream and FileOutputStream objects with Files NIO APIs. #221. Thanks to Arturo Bernal.,Code redesign
Fix IndexOutOfBoundsException in IOExceptionList constructors. Thanks to Gary Gregory.,Bug fix
"Remove IOException from the method signatures that no longer throw IOException. This maintains binary compatibility but not source compatibility. - FilenameUtils directoryContains(String, String) - BoundedReader BoundedReader(java.io.Reader, int) - IOUtils lineIterator(java.io.InputStream, Charset) lineIterator(java.io.InputStream, String) toByteArray(String) toInputStream(CharSequence, String) toInputStream(String, String) toString(byte[]) toString(byte[], String) Thanks to Gary Gregory.",Maintainability improvement
Add SymbolicLinkFileFilter. Thanks to Gary Gregory.,Add support for a new feature
Add test to make sure the setter of AndFileFilter works correctly #244. Thanks to trncate.,Quality assurance
Add XmlStreamReader(Path). Thanks to Gary Gregory.,Add support for a new feature
Bump mockito-inline from 3.11.0 to 3.11.2 #247. Thanks to Dependabot.,Update dependency
Bump jmh.version from 1.27 to 1.32 #237. Thanks to Dependabot.,Update dependency
,
"RegexFileFilter uses the path and file name instead of just the file name. Fixes IO-733. Thanks to Jim Sellers, Gary Gregory.",Bug fix
The OSGi manifest now contains sun.* import packages #239. Fixes IO-734. Thanks to Eric Norman.,Update dependency
Sanitize double slash after prefix #79. Fixes IO-585. Thanks to Adam McClenaghan.,Bug fix
Add and use RegexFileFilter.toString(). Thanks to Gary Gregory.,Add support for a new feature
"Add and use RegexFileFilter.RegexFileFilter(Pattern, Function<Path>, String>) Thanks to Gary Gregory.",Add support for a new feature
Add and use IOCase.isCaseSensitive(IOCase). Thanks to Gary Gregory.,Add support for a new feature
Bump actions/cache from 2.1.5 to 2.1.6 #238. Thanks to Dependabot.,Update dependency
Bump junit-pioneer from 1.4.1 to 1.4.2 #240. Thanks to Dependabot.,Update dependency
"Bump checkstyle from 8.42 to 8.44 #241, #248. Thanks to Dependabot.",Update dependency
Bump mockito-inline from 3.10.0 to 3.11.0 #242. Thanks to Dependabot.,Update dependency
,
"IOUtils.toByteArray(InputStream) Javadoc does not match code. Fixes IO-686. Thanks to Alan Moffat, Gary Gregory.",Documentation
FileUtils: Remove Instant->ZonedDateTime->Instant round-trip. Fixes IO-689. Thanks to Uwe Schindler.,Bug fix
"Make FilenameUtils.equals() not throw an exception #154. Thanks to Michael Ernst, Gary Gregory.",Bug fix
"Un-deprecate IOUtils.closeQuietly() methods. Thanks to Jan Peter Stotz, Bernd Eckenfels, Gary Gregory.",Code redesign
"FileUtils#copyDirectory(File, File, FileFilter, preserveFileDate) clean up #163. Thanks to Michiel Kalkman.",Performance improvement
AccumulatorPathVisitor does not track directories properly. Thanks to Gary Gregory.,Bug fix
"FileUtils.iterateFiles runs out of memory when executed for a directory with large number of files. Re-implement FileUtils' iterateFiles(), iterateFilesAndDirs(), listFiles(), listFilesAndDirs() to use NIO file tree walking instead of IO file listings to avoid memory consumption issues on large file trees. Fixes IO-597. Thanks to Gary Gregory, Arvind, Rob Spoor.",Code redesign
FileUtils.forceDelete(File) actually forces deletion of read-only files as it did in version 2.6. Thanks to Gary Gregory.,Bug fix
"PathUtils.deleteFile() no longer throws a NoSuchFileException when applied on a symbolic link pointing to a file that doesn't exist. Fixes IO-692. Thanks to Matthew Rooney, Emmanuel Bourg.",Bug fix
"Behavior change in FileUtils.copyDirectory() file last modified timestamp preservation. Match Javadoc to code. Fixes IO-694. Thanks to Tan Yee Fan, Gary Gregory.",Documentation
"Fix getPrefixLength method for Linux filename #179. Fixes IO-600. Thanks to Abhyankar Chaubey, Gary Gregory.",Bug fix
"Wrong logging in FileUtils.setLastModified. Fixes IO-699. Thanks to tza, Gary Gregory.",Documentation
"IOUtils.toByteArray(InputStream) Javadoc does not match code. Fixes IO-686. Thanks to Alan Moffat, Sebb, Gary Gregory.",Documentation
"CopyUtils deprecation message gives wrong version. Fixes IO-688. Thanks to Michael Ernst, Gary Gregory.",Documentation
Make PathUtils.setReadOnly deal with LinuxDosFileAttributeView #186. Fixes IO-701. Thanks to Gary Gregory.,Bug fix
"FileUtils.forceDelete does not delete invalid links. #187. Fixes IO-702. Thanks to Boris Unckel, Gary Gregory.",Bug fix
"IOUtils.toByteArray(null) no longer throws a NullPointerException. Fixes IO-690. Thanks to Chris Heisterkamp, Gary Gregory.",Bug fix
"MarkShieldInputStream#reset should throw UnsupportedOperationException. Fixes IO-705. Thanks to Hao Zhong, Gary Gregory.",Bug fix
"LockableFileWriter.close() should fail when the lock file cannot be deleted. Fixes IO-705. Thanks to Hao Zhong, Gary Gregory.",Bug fix
"Fix infinite loops in ObservableInputStream read(*) when an exception is caught but not re-thrown. Fixes IO-705. Thanks to Hao Zhong, Gary Gregory.",Bug fix
"Fixed error of copying directories between different file systems #203. Fixes IO-719. Thanks to Andrew Shcheglov, Gary Gregory.",Bug fix
"Fix Typos in JavaDoc, Comments and Tests #201. Thanks to Felix Rilling.",Documentation
-,Maintainability improvement
"FileUtils.checksumCRC32 and FileUtils.checksum are not thread safe. Fixes IO-718. Thanks to Robert Cooper, Gary Gregory.",Bug fix
Fix error about usage of DirectBuffer in JRE 16/17 #205. Fixes IO-720. Thanks to XenoAmess.,Bug fix
"Prevent infinite loop with AbstractCharacterFilterReader if EOF is filtered out #226. Thanks to Rob Spoor, Gary Gregory.",Bug fix
